"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.69559","","99.3961","99.82628","99.52595","","","97.76351","","98.60371","","","","","","","","","","","","","","","","",
"","AFE","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","67.02043","","","90.53075","92.00777","","","80.81922","","","","89.52981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.26841","92.3154","90.76541","","","","","","","",
"","AFW","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","67.55915","","","","","","","","","","","","","","","","","","","","","","","","","","","40.8185","","52.48167","","","","","","","","","","","","","","",
"Albanie","ALB","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.51973","","","","","97.24541","","","","","","98.38603","98.21509","99.22479","98.08978","99.18615","99.48943","99.75281","99.80782","99.08036","98.06952","98.17323","98.53003","","","","","","","",
"Andorre","AND","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Le monde arabe","ARB","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","72.68005","72.09414","73.05481","75.28548","79.3036","75.82981","78.47501","70.85332","77.7382","79.00768","79.92212","82.21141","83.23208","82.48792","85.094","84.85634","84.93914","85.49878","87.2372","85.83101","88.52283","88.48546","88.77381","88.8839","88.79104","89.16258","89.18019","89.2055","90.3527","90.21805","91.44694","91.8274","91.83506","91.41852","90.62327","90.68009","90.66842","90.5528","90.52804","90.14646","89.71483","86.4415","86.94968","87.71369","88.19032","89.50132","90.15284","","","","","","","",
"Émirats arabes unis","ARE","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","90.24127","97.93039","91.27962","97.01646","94.08898","","94.3534","","","97.75595","97.32213","95.05362","97.26659","96.80363","98.78569","99.49373","98.79721","98.26561","94.02025","96.95369","99.48798","98.72636","","98.03728","","","98.70699","99.94577","98.98802","97.74784","98.47823","99.22658","99.87523","99.63031","","","97.66702","95.76771","99.42204","98.39354","99.93103","","","","","","","","","","","",
"Argentine","ARG","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","29.73252","","","28.74709","29.05048","","","","","","","","","","","","","","","","","","","","","","","","97.21217","98.20092","97.69371","97.39566","96.5178","96.70928","95.86633","95.38558","94.96292","95.16004","95.31151","95.87691","96.17801","96.62407","96.84399","97.31649","97.40726","99.48824","99.85158","","","","","","","","",
